Id,EventType,Message,VideoId,EventName,ModifiedBy,ModifiedDate,Video_Token,ThreadId,Tags,Created,SubmissionDate,VideoCreatorId,Reply_To,Weight,Position,Duration,VideoResolution,Views,CommunityManagerNotes,Custom_Label,Video_State,Video_Type,IsDeleted
1218,Video,,1120,Created,System,11/13/2020 5:24:14 PM,r1966bd0babbc39b4a00d69f33a587ad,931,"submitted,{""threadId"":931},pending",11/13/2020 5:22:14 PM,11/13/2020 5:22:28 PM,,0,0,1,27.03,,0,,,Created,Normal,False
1236,Video,,1120,CMNote,d1e8af53-1e81-4ccc-a12c-7a6e08986a89,11/14/2020 11:46:55 AM,r1966bd0babbc39b4a00d69f33a587ad,931,"submitted,{""threadId"":931},pending",11/13/2020 5:22:14 PM,11/13/2020 5:22:28 PM,,0,0,1,27.03,,0,"Jakarta, City of Dreamers",,Created,Normal,False
1237,Video,,1120,CMNote,631b63ae-1557-407a-b346-4bef91c1ae6d,11/14/2020 11:48:06 AM,r1966bd0babbc39b4a00d69f33a587ad,931,"submitted,{""threadId"":931},pending",11/13/2020 5:22:14 PM,11/13/2020 5:22:28 PM,,0,0,1,27.03,,0,Jakarta,,Created,Normal,False
1238,Video,,1120,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/14/2020 11:48:09 AM,r1966bd0babbc39b4a00d69f33a587ad,931,"submitted,{""threadId"":931},pending",11/13/2020 5:22:14 PM,11/13/2020 5:22:28 PM,,0,0,1,27.03,,0,Jakarta,,Created,Featured,False
1239,Video,,1120,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/14/2020 11:48:23 AM,r1966bd0babbc39b4a00d69f33a587ad,931,"submitted,{""threadId"":931},pending",11/13/2020 5:22:14 PM,11/13/2020 5:22:28 PM,,0,0,1,27.03,,0,Jakarta,,Published,Featured,False
1814,Video,,1175,Created,System,11/15/2020 1:40:07 PM,r14f6e248eed0836d010c5c686c6d13d,1195,"submitted,{""threadId"":1195},pending",11/15/2020 1:38:39 PM,11/15/2020 1:39:07 PM,,0,0,1,20.52,,0,,,Created,Normal,False
1944,Video,Copied to video: 1189,1175,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 9:08:43 AM,r14f6e248eed0836d010c5c686c6d13d,1195,"submitted,{""threadId"":1195},pending",11/15/2020 1:38:39 PM,11/15/2020 1:39:07 PM,,0,0,1,20.52,,0,,,Created,Normal,False
1982,Video,Copied to video: 1198,1120,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:36:49 PM,r1966bd0babbc39b4a00d69f33a587ad,931,"submitted,{""threadId"":931},pending",11/13/2020 5:22:14 PM,11/13/2020 5:22:28 PM,,0,0,1,27.03,,0,Jakarta,,Published,Featured,False
1993,Video,,1120,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:41:04 PM,r1966bd0babbc39b4a00d69f33a587ad,931,"submitted,{""threadId"":931},pending",11/13/2020 5:22:14 PM,11/13/2020 5:22:28 PM,,0,0,1,27.03,,0,Jakarta,"Jakarta, City of Dreamers",Published,Featured,False
1995,Video,Original Discussion Id: 1195,1175,Move,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:43:28 PM,r14f6e248eed0836d010c5c686c6d13d,931,"submitted,{""threadId"":1195},pending",11/15/2020 1:38:39 PM,11/15/2020 1:39:07 PM,,0,0,2,20.52,,0,,,Created,Normal,False
