id,car,priceForKm,priceForTime,startDate,endDate,startPlace.latitude,startPlace.longitude,startPlace.adress,endPlaces,available
7fdbba43-eb78-4414-a66c-e38b3898fc05,,5.63,6.25,1564185146,1566560112,59.4487214,17.8043161,Mcguire,"[{""latitude"":-19.6818529,""longitude"":-49.0817124,""adress"":""Heath""},{""latitude"":8.8928524,""longitude"":11.3771496,""adress"":""Paget""},{""latitude"":12.5679446,""longitude"":-87.0299433,""adress"":""Jay""},{""latitude"":59.3104563,""longitude"":18.0995725,""adress"":""Judy""}]",true
c8f2a020-cd30-482b-9853-de8616eca50a,,2.46,1.28,1542932831,1568590113,24.44218,114.938684,Morningstar,"[{""latitude"":-0.6850063,""longitude"":100.3273368,""adress"":""Delaware""},{""latitude"":""39.28167"",""longitude"":""21.90611"",""adress"":""Marcy""},{""latitude"":30.1533605,""longitude"":88.7878678,""adress"":""Towne""},{""latitude"":-10.0188555,""longitude"":120.0549683,""adress"":""High Crossing""},{""latitude"":51.9877935,""longitude"":5.9030863,""adress"":""Utah""}]",true
c009dace-b774-4618-b701-e6ae9469a383,,6.3,2.56,1557477355,1563746592,36.61667,37.45,Blaine,"[{""latitude"":14.2462858,""longitude"":121.4934758,""adress"":""Lindbergh""}]",true
b5d1462e-6a5e-4bf7-80df-3d88d32e0262,,9.99,7.14,1558299243,1563564947,38.052038,114.466022,Carberry,"[{""latitude"":37.1773363,""longitude"":-3.5985571,""adress"":""Memorial""}]",true
2cb69ab9-9bfe-45f4-b1bd-d32ecdc44d88,,7.16,9.24,1566901029,1573259763,-6.9876,112.7875,Heath,"[{""latitude"":-7.618249,""longitude"":110.6630784,""adress"":""Mifflin""},{""latitude"":39.1002506,""longitude"":23.0771373,""adress"":""Sherman""}]",false
182974fb-793d-4670-877d-1fa4523ef379,,9.32,8.03,1573942623,1574065430,41.4069416,-8.4028972,High Crossing,"[{""latitude"":56.1597379,""longitude"":25.744289,""adress"":""Bellgrove""}]",true
675b3c0d-cbbe-4136-b10e-6cd43c7093e3,,3.55,6.52,1557683629,1569246255,-29.0563937,167.959588,Moland,"[{""latitude"":29.8812968,""longitude"":111.4535119,""adress"":""Butterfield""},{""latitude"":45.846967,""longitude"":-73.4924769,""adress"":""Sloan""},{""latitude"":13.0058731,""longitude"":5.2475518,""adress"":""Elgar""},{""latitude"":43.3667218,""longitude"":-72.3412362,""adress"":""Golf""}]",true
74ef8e4d-a92e-441b-a1da-b9f1f0dd0417,,7.43,5.16,1553184884,1556230697,39.0041504,-77.0391754,Prairie Rose,"[{""latitude"":41.942393,""longitude"":126.558573,""adress"":""David""},{""latitude"":18.759886,""longitude"":-69.2607406,""adress"":""Glendale""},{""latitude"":39.5435798,""longitude"":-8.0379136,""adress"":""Warbler""},{""latitude"":52.3076201,""longitude"":-114.0979947,""adress"":""Everett""},{""latitude"":27.8608333,""longitude"":117.7841666,""adress"":""Red Cloud""}]",false
39e0489a-3edc-4e4f-9754-459c74464abd,,1.25,3.4,1566121767,1567738289,22.278114,114.181701,Hallows,"[{""latitude"":51.341478,""longitude"":34.6310084,""adress"":""Vera""},{""latitude"":-7.4582767,""longitude"":109.4363225,""adress"":""Monterey""},{""latitude"":16.9905258,""longitude"":121.637093,""adress"":""Gale""},{""latitude"":44.9114638,""longitude"":15.9259321,""adress"":""Golf View""},{""latitude"":45.8367628,""longitude"":5.2900333,""adress"":""Hanover""}]",false
fc12ed35-108a-4091-ab44-5ccd2821d1ca,,1.42,2.68,1560304329,1565767614,39.193073,112.865891,Truax,"[{""latitude"":-27.6923006,""longitude"":23.0367512,""adress"":""Kings""},{""latitude"":20.2218201,""longitude"":-75.9869609,""adress"":""Derek""}]",false
78679138-9c8d-4424-8c97-273e0d840196,,7.33,2.61,1547996999,1561102190,28.438851,120.564983,Gerald,[],true
dfd696e5-cea6-4ad5-814e-6a19eddbe886,,7.83,1.65,1543009606,1543404954,36.696955,116.911044,Prairie Rose,"[{""latitude"":48.2678882,""longitude"":2.7122802,""adress"":""Manley""}]",true
f3f18ec3-4103-4b5e-b3fa-2701bc25e6db,,2.67,9.36,1565627728,1573502121,34.66667,61.06667,Oxford,"[{""latitude"":14.773124,""longitude"":49.3805473,""adress"":""Nobel""},{""latitude"":11.8495208,""longitude"":-86.1980589,""adress"":""American""},{""latitude"":52.2902011,""longitude"":22.4724915,""adress"":""Onsgard""},{""latitude"":48.5347071,""longitude"":7.6370168,""adress"":""Division""},{""latitude"":-30.604304,""longitude"":-71.1969882,""adress"":""Blaine""}]",false
dd35562d-1b03-40a8-ba67-4b7855da0504,,2.43,2.14,1565798958,1570201457,-8.0246687,112.5066293,Hoard,[],true
f3ddeba2-d2ff-46a2-bfe9-9ac172e635fc,,1.32,3.21,1547311681,1573841662,7.8005358,-80.7463852,Graedel,"[{""latitude"":29.028766,""longitude"":111.697912,""adress"":""Dayton""}]",true
a7968e1e-dbc5-4842-ac3f-222f3a051a18,,2.92,8.98,1565088039,1571994871,55.604205,40.6113806,Meadow Valley,"[{""latitude"":""14.29496"",""longitude"":""44.68504"",""adress"":""Sunfield""},{""latitude"":54.896241,""longitude"":59.8586221,""adress"":""Loftsgordon""},{""latitude"":26.1288392,""longitude"":127.6681281,""adress"":""Debs""}]",true
df00ef6b-f663-426c-9dae-4b0fe106fba3,,1.55,7.28,1544414081,1549770711,-5.75,-77.9,Vidon,"[{""latitude"":-6.3991308,""longitude"":106.7411559,""adress"":""Moland""},{""latitude"":27.6332252,""longitude"":85.5277488,""adress"":""Vermont""},{""latitude"":60.2653316,""longitude"":30.4577808,""adress"":""Crescent Oaks""},{""latitude"":14.4706312,""longitude"":121.0053859,""adress"":""Donald""},{""latitude"":39.3408388,""longitude"":23.0126047,""adress"":""Randy""}]",true
7c213c7f-2b94-46dd-b1ba-1da1b9233807,,4.66,2.37,1556449339,1572612529,42.930418,1.7243511,Jana,"[{""latitude"":-12.8454679,""longitude"":-40.2271243,""adress"":""Twin Pines""},{""latitude"":-6.5312892,""longitude"":106.702825,""adress"":""Orin""},{""latitude"":30.3414125,""longitude"":114.1543243,""adress"":""Sloan""},{""latitude"":32.43155,""longitude"":116.514251,""adress"":""Ryan""}]",true
7487bf35-da0b-4dc6-af3f-319049c894cc,,1.19,5.39,1553200915,1557762149,43.331546,27.5912198,Monument,"[{""latitude"":44.6962724,""longitude"":39.8024873,""adress"":""Thierer""},{""latitude"":34.933333,""longitude"":9.2,""adress"":""Anhalt""},{""latitude"":38.0244455,""longitude"":140.0946079,""adress"":""Park Meadow""},{""latitude"":6.737092,""longitude"":124.600287,""adress"":""Cordelia""}]",false
