id,carLicensePlate,users,offerId,startPlace.latitude,startPlace.longitude,startPlace.country,endPlace.latitude,endPlace.longitude,endPlace.country,startDate,endDate,suggestedEndPlaces,kmTraveled,status,priceBalance,depositBalance,rewardBalance,startedBy,score,finishedBy,checkedBy,seats,rentForTime,totalPrice,observations,startPlace.startTime,startPlace.kmTraveled,startPlace.totalPrice
c3a22ae7-eb92-4055-b749-0a01b39432c5,3D7JB1EPXBG126865,"[{""userId"":""Alberta"",""passengers"":2},{""userId"":""Urbain"",""passengers"":2},{""userId"":""Hammad"",""passengers"":2}]",bbf22efb-66a6-4569-8a4f-6602b75abed5,-22.8458105,-47.2288853,Brasil,49.8381802,20.9789037,Polska,1571595235,1571642035,{},183.44,2,0,137.37,0,{},[],[],[],2,true,50.58,Organic cohesive migration,undefined,undefined,undefined
1d71cf23-439f-477b-9dac-7e10d397d6f2,SAJWA0ES5EP943471,"[{""userId"":""Randolph"",""passengers"":1},{""userId"":""Aryn"",""passengers"":1}]",a29ac556-7fe7-4b70-b9e7-0236674c0168,57.14667,33.10753,Россия,38.6,-121.45,United States,1563529740,1563580140,{},18.41,0,198.55,153.74,36.37,{},[],[],[],1,true,181.45,Synchronised multimedia internet solution,undefined,undefined,undefined
4c8a7969-78d0-4fca-ba81-4dd6aa832e3e,JH4CW2H5XCC717031,"[{""userId"":""Isaak"",""passengers"":2},{""userId"":""Shari"",""passengers"":1},{""userId"":""Dimitry"",""passengers"":1},{""userId"":""June"",""passengers"":1},{""userId"":""Tamarah"",""passengers"":2}]",913395a2-c388-41e0-9cda-0ac12d2bb6b3,2.5045603,73.3082308,ދިވެހިރާއްޖެ,14.8951679,-24.4945636,Cabo Verde,1545874286,1545949886,{},112.84,3,0,0,0,{},[],[],"[{""coordinate"":{""latitude"":-6.2957395,""longitude"":107.8228459},""moment"":1546014686,""state"":1,""user"":""Ashton""},{""coordinate"":{""latitude"":55.7382444,""longitude"":37.6148},""moment"":1545982286,""state"":1,""user"":""Bronnie""},{""coordinate"":{""latitude"":-6.8744345,""longitude"":111.5736596},""moment"":1545978686,""state"":1,""user"":""Lorne""},{""coordinate"":{""latitude"":-34.6107923,""longitude"":-58.4654718},""moment"":1545967886,""state"":0,""user"":""Karlotta""},{""coordinate"":{""latitude"":31.036218,""longitude"":120.921726},""moment"":1545967886,""state"":0,""user"":""Hammad""}]",0,true,186.08,Face to face bifurcated capability,undefined,undefined,undefined
ba43d360-6ffa-4dbe-b5ad-ed6e69a9fe2a,1N4AA5AP8AC567587,"[{""userId"":""Annabelle"",""passengers"":1}]",4bd92710-8bde-4cc8-b8c5-907411d4117b,38.39917,125.61556,조선민주주의인민공화국,-8.1094987,115.1618941,Indonesia,1563601351,1563680551,{},62.63,0,133.64,33.9,193.01,{},[],[],[],2,true,96.02,Secured analyzing migration,undefined,undefined,undefined
10dfed3c-1c61-4a07-bbed-5819ebae59ef,WAUSF98E97A783106,"[{""userId"":""Kissie"",""passengers"":1}]",3543231d-761f-4191-bf58-3219b28d7c15,53.9858812,16.9811758,Polska,14.5703297,121.1473998,Philippines,1572920574,1572931374,{},132.14,4,0,0,0,{},[],[],[],2,true,22.69,Organic explicit protocol,undefined,undefined,undefined
c2aa930f-06ed-41e2-a54f-12fb1be6d305,WBAVL1C53DV043733,"[{""userId"":""Jenilee"",""passengers"":2},{""userId"":""Charla"",""passengers"":1}]",83bbc55d-390b-4b4a-bd23-5850c77cf0d5,22.974898,113.993115,中国,36.4583521,140.1060931,日本,1554846137,1554914537,{},113.49,4,0,0,0,{},[],[],[],3,true,152.21,Profound composite capacity,undefined,undefined,undefined
909ae572-1550-4e22-98c4-da71a3787ecd,WBADX7C56CE229428,"[{""userId"":""Gilly"",""passengers"":2},{""userId"":""Nona"",""passengers"":2}]",5076b211-a6b9-4070-8610-3fb54132d264,26.567944,106.714374,中国,10.7330518,14.6004911,Cameroun,1543290184,1543372984,{},100.78,0,81.44,77.74,47.13,{},[],[],[],1,true,67.67,Optional upward-trending open architecture,undefined,undefined,undefined
23fa904e-87e1-40be-9725-59fd1da22bf1,WAUKH74F66N828796,"[{""userId"":""Derk"",""passengers"":2},{""userId"":""Lisha"",""passengers"":1},{""userId"":""Iris"",""passengers"":2},{""userId"":""Iain"",""passengers"":2}]",6c5fe768-7d15-4d46-8144-8edabb7ab031,28.133231,106.825301,中国,12.8383201,-85.4607639,Nicaragua,1569911370,1569958170,{},121.74,4,0,0,0,{},[],[],[],1,true,61.26,Diverse discrete product,undefined,undefined,undefined
a9575347-fc1a-49f1-8ca0-291e69a87e7d,YV1902MC1F1201846,"[{""userId"":""Bernhard"",""passengers"":2},{""userId"":""Link"",""passengers"":2},{""userId"":""Cesaro"",""passengers"":2},{""userId"":""Carlin"",""passengers"":1}]",bbf0a4c0-c531-447a-8004-ecb87c824bf3,42.0328151,-8.6450785,Portugal,-10.1331,123.906,Indonesia,1573249980,1573257180,{},79.04,2,0,11.26,0,{},[],[],[],0,false,148.68,Open-architected coherent utilisation,undefined,undefined,undefined
39ee83fa-a935-4ac9-940e-028abc54525a,WAULD54BX2N317605,"[{""userId"":""Jeramey"",""passengers"":2},{""userId"":""Vance"",""passengers"":2},{""userId"":""Tore"",""passengers"":1},{""userId"":""Liza"",""passengers"":2}]",a785c911-786f-4bab-9c3f-7c01a6ae15a8,34.681962,-1.900155,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,35.846212,14.486396,Malta,1567239156,1567239156,{},6.95,4,0,0,0,{},[],[],[],1,true,30.27,Optimized zero tolerance model,undefined,undefined,undefined
